proteinId	description	modelnotes	defline
1737046	DOC2-DOC2-CBM13-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 13  / Carbohydrate Esterase Family 1 protein
1737453	GH53		Glycoside Hydrolase Family 53 protein
1737579	GH43_16-CBM6		Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6 protein
1738826	DOC2-DOC2-PL1		Non-Catalytic Module Family DOC2 / Polysaccharide Lyase Family 1 protein
1738851	GH16_10-DOC2-DOC2		Glycoside Hydrolase Family 16  / Non-Catalytic Module Family DOC2
1739730	GT71		Glycosyltransferase Family 71 protein
1739865	GT1		Glycosyltransferase Family 1 protein
1740297	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1741721	DOC2-DOC2-CBM10-GH45		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 10  / Glycoside Hydrolase Family 45 protein
1742844	DOC2		Non-Catalytic Module Family DOC2
1742847	CE6-DOC2-DOC2		Carbohydrate Esterase Family 6  / Non-Catalytic Module Family DOC2
1742946	DOC2-DOC2		Non-Catalytic Module Family DOC2
1743009	DOC2-DOC2-GH10		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
1743030	CBM26-CBM25		Carbohydrate-Binding Module Family 26  / Carbohydrate-Binding Module Family 25 protein
1743872	GH8		Glycoside Hydrolase Family 8 protein
1743930	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1745309	GH11-DOC2-DOC2		Glycoside Hydrolase Family 11  / Non-Catalytic Module Family DOC2
1745393	GH5_7-DOC2-DOC2-DOC2		Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
1745609	GT66	fragment C-term;	Glycosyltransferase Family 66 protein
1745688	CBM18		Carbohydrate-Binding Module Family 18 protein
1745742	CBM18		Carbohydrate-Binding Module Family 18 protein
1745755	DOC2-GH30_5		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 30 protein
1746154	GT2		Glycosyltransferase Family 2 protein
1746173	GT2		Glycosyltransferase Family 2 protein
1748161	GT2-GT4		Glycosyltransferase Family 2  / Glycosyltransferase Family 4 protein
1748172	GT2-GT4		Glycosyltransferase Family 2  / Glycosyltransferase Family 4 protein
1750283	CBM1		Carbohydrate-Binding Module Family 1 protein
1750481	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1751376	CE4		Carbohydrate Esterase Family 4 protein
1752422	CBM18		Carbohydrate-Binding Module Family 18 protein
1753270	CBM18		Carbohydrate-Binding Module Family 18 protein
1753349	CBM18		Carbohydrate-Binding Module Family 18 protein
1753374	CBM18		Carbohydrate-Binding Module Family 18 protein
1753490	CBM18		Carbohydrate-Binding Module Family 18 protein
1753560	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1753585	GH114		Glycoside Hydrolase Family 114 protein
1753795	EXPN		Distantly related to plant expansins
1753965	CBM18		Carbohydrate-Binding Module Family 18 protein
1754089	CBM18		Carbohydrate-Binding Module Family 18 protein
1754501	CBM18		Carbohydrate-Binding Module Family 18 protein
1754584	CBM18		Carbohydrate-Binding Module Family 18 protein
1754932	CBM18		Carbohydrate-Binding Module Family 18 protein
1755210	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1755666	GH114		Glycoside Hydrolase Family 114 protein
1756038	CBM18		Carbohydrate-Binding Module Family 18 protein
1756970	CBM10-CBM10		Carbohydrate-Binding Module Family 10 protein
1759738	CBM26-CBM25		Carbohydrate-Binding Module Family 26  / Carbohydrate-Binding Module Family 25 protein
1759743	GH6	fragment N-term;	Glycoside Hydrolase Family 6 protein
1759879	DOC2-DOC2		Non-Catalytic Module Family DOC2
1760269	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1760426	GH25		Glycoside Hydrolase Family 25 protein
1760607	GH115	fragment N-term;	Glycoside Hydrolase Family 115 protein
1760609	DOC2-GH10		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
